Instances,Mmultistart Objective,Mmultistart time taken,Baron Objective,Baron time taken,Knitro Objective,Knitro time taken,Ipopt Objective,Ipopt time taken,Bonmin Objective,Bonmin time taken
d1_Sample_input_cycle_twoloop,416828.0369,1.15,403606.7689,393.93, 403606.7937,14.47543,424175.56005609053,0.157,403604.939654707,2.56395
d2_Sample_input_cycle_hanoi,6223371.3524,6.29,0,0.0, 6063524.773,33.02238,6059621.984257775,0.507,6059621.984245104,5.221832
d3_Sample_input_double_hanoi,12071816.8568,3.11,0,0.0, 12164153.5,69.52576,12071816.749613896,1.244,12074488.559880814,16.733738
d4_Sample_input_triple_hanoi,18381495.4244,5.97,0,0.0, 18593792.51,222.42937,18386968.01042726,1.653,18381495.183393948,60.84775900000001
d5_Taichung_input,8868026.0118,2.73,0,0.0, 8941667.174,31.39054,8903120.007462097,0.532,8938450.382746091,35.467628999999995
d6_HG_SP_1_4,3584037.9305,40.07,0,0.0, 3566156.455,211.57626,3567678.6993590905,1.717,3554956.7034641164,30.163768
d7_HG_SP_2_3,3403805.1243,15.35,0,0.0, 3402420.546,227.57787,3406648.3989426745,1.474,3401861.0899667935,4.853216
d8_HG_SP_3_4,6920355.4359,18.33,0,0.0,0,0.0,6940608.738177715,3.478,6920310.635196588,107.893008
d9_HG_SP_4_2,INFTY,3600.0,0,0.0, 8890450.195,978.92682,9045976.158844132,7.545,9001500.37038673,43.655922000000004
d10_HG_SP_5_5,INFTY,3600.0,0,0.0, 9367610.388,954.99139,9791308.069629766,5.141,9399431.71929949,100.265265
d11_HG_SP_6_3,INFTY,3600.0,0,0.0, 10718264.89,634.13153,10937177.233758828,6.249,12151273.911983384,18.781
d12,3434415.7485,23.99,1e+51,3600.21, 3391118.583,202.75137,3506718.5610720157,3.108,3394199.0350498226,66.380522
d13,14902767.4736,0.31,14902767.35,2.49, 14902767.47,1.10484,14902766.281775728,0.058,14902766.282737363,0.7955240000000001
d14_NewYork,INFTY,3600.0,1e+51,3600.0, 64972286.51,5.18552,0.0,0.0,INFEAS,0.7001630000000001
d15_foss_poly_0,66467960.2023,2.2,0,0.0, 66455082.25,1.41119,67389442.98975368,0.353,66870173.02904679,16.704472000000003
d16_foss_iron,171753.3773,3.93,0,0.0, 171735.0479,1.33992,172738.54806575054,0.344,171735.04621864532,45.990596
d17_foss_poly_1,20684.7425,54.3,0,0.0, 20855.68995,29.80096,20213.191947274343,1.692,20729.990167205982,104.89918299999998
d18_pescara,INFEAS,18.29,Infeasible ,0.03, 6183525.143,145.09326,3387370.2069254224,1.04,INFEAS,76.827776
d19_modena,INFTY,0.0,Infeasible ,0.09, 68936394.15,0.04385,9766357.161616754,5.205,INFEAS,52.455535999999995
